ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
CYTK13,"Cytidylate kinase (dCMP,dATP)",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK13n,"Cytidylate kinase (dCMP,dATP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK14,"Cytidylate kinase (dCMP,UTP)",Nucleotides,HFD,SCD,0.13401978718941504,0.0,0.13401978718941504,,,
CYTK14n,"Cytidylate kinase (dCMP,CTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK1m,"Cytidylate kinase (CMP),mitochondrial",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK1n,"Cytidylate kinase (CMP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK2,Cytidylate kinase (dCMP),Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK2n,"Cytidylate kinase (dCMP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK3,Cytidylate kinase (CMP)(GTP),Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK3n,"Cytidylate kinase (dCMP,CTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK4,Cytidylate kinase (dCMP)(GTP),Nucleotides,HFD,SCD,-0.13401978718941504,0.0,-0.13401978718941504,,,
CYTK4n,"Cytidylate kinase (dCMP,GTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK2_1,Adenylate kinase,Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK5n,"Cytidylate kinase (CMP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CPK1,Adenylate kinase,Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK6n,"Cytidylate kinase (CMP,CTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK7,"Cytidylate kinase (CMP,UTP)",Nucleotides,HFD,SCD,-0.03640871355352001,0.0,-0.03640871355352001,,,
CYTK7n,"Cytidylate kinase (CMP,UTP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK8,"Cytidylate kinase (CMP,dATP)",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
CYTK8n,"Cytidylate kinase (CMP,dATP),nuclear",Nucleotides,HFD,SCD,0.0,0.0,0.0,,,
